Paper,URL,Year,Venue,Component,Design Goal,Scope,Method,Human,Automated,Time Scale,Validation
"Reducing the Search Space on demand helps Older Adults find Mobile UI Features quickly, on par with Younger Adults",https://doi.org/10.1145/3613904.3642796,2024,HCI,system,"effectiveness, efficiency, satisfaction",extrinsic,quantitative,user,,shortterm,validity
Rehearsal: Simulating Conflict to Teach Conflict Resolution,https://doi.org/10.1145/3613904.3642159,2024,HCI,"model, system",effectiveness,"intrinsic, extrinsic","quantitative, qualitative",user,static,"instant, shortterm",reliability
"See Widely, Think Wisely: Toward Designing a Generative Multi-agent System to Burst Filter Bubbles",https://doi.org/10.1145/3613904.3642545,2024,HCI,system,"effectiveness, satisfaction",extrinsic,"quantitative, qualitative",user,,shortterm,
Selenite: Scaffolding Online Sensemaking with Comprehensive Overviews Elicited from Large Language Models,https://doi.org/10.1145/3613904.3642149,2024,HCI,"model, system","effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative",user,static,"instant, shortterm",validity
"Think Fast, Think Slow, Think Critical: Designing an Automated Propaganda Detection Tool",https://doi.org/10.1145/3613904.3642805,2024,HCI,system,"effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative","expert, user",,shortterm,reliability
"Towards AI-Driven Healthcare: Systematic Optimization, Linguistic Analysis, and Clinicians’ Evaluation of Large Language Models for Smoking Cessation Interventions",https://doi.org/10.1145/3613904.3641965,2024,HCI,system,"effectiveness, efficiency",intrinsic,quantitative,"expert, user",static,instant,
VAL: Interactive Task Learning with GPT Dialog Parsing,https://doi.org/10.1145/3613904.3641915,2024,HCI,"model, system","effectiveness, satisfaction","intrinsic, extrinsic","quantitative, qualitative",user,static,"instant, shortterm",
VirtuWander: Enhancing Multi-modal Interaction for Virtual Tour Guidance through Large Language Models,https://doi.org/10.1145/3613904.3642235,2024,HCI,system,satisfaction,"intrinsic, extrinsic","quantitative, qualitative",user,,shortterm,
CHATREPORT: Democratizing Sustainability Disclosure Analysis through LLM-based Tools,https://aclanthology.org/2023.emnlp-demo.3,2023,NLP,model,effectiveness,intrinsic,"quantitative, qualitative",expert,,,reliability
CollabKG: A Learnable Human-Machine-Cooperative Information Extraction Toolkit for (Event) Knowledge Graph Construction,https://aclanthology.org/2024.lrec-main.310,2024,NLP,system,"effectiveness, efficiency",extrinsic,quantitative,user,,shortterm,
CoEdIT: Text Editing by Task-Specific Instruction Tuning,https://aclanthology.org/2023.findings-emnlp.350,2023,NLP,"model, system",,intrinsic,quantitative,expert,static,instant,
DIALIGHT: Lightweight Multilingual Development and Evaluation of Task-Oriented Dialogue Systems with Large Language Models,https://aclanthology.org/2024.naacl-demo.4,2024,NLP,model,effectiveness,"intrinsic, extrinsic",quantitative,user,static,instant,
DuetSim: Building User Simulator with Dual Large Language Models for Task-Oriented Dialogues,https://aclanthology.org/2024.lrec-main.481,2024,NLP,model,effectiveness,"intrinsic, extrinsic","quantitative, qualitative",user,static,instant,
EmpathyEar: An Open-source Avatar Multimodal Empathetic Chatbot,https://aclanthology.org/2024.acl-demos.7,2024,NLP,"model, system",,intrinsic,quantitative,user,static,instant,
InsightPilot: An LLM-Empowered Automated Data Exploration System,https://aclanthology.org/2023.emnlp-demo.31,2023,NLP,system,effectiveness,extrinsic,"quantitative, qualitative",user,,shortterm,
MEGAnno+: A Human-LLM Collaborative Annotation System,https://aclanthology.org/2024.eacl-demo.18,2024,NLP,system,effectiveness,extrinsic,qualitative,"expert, user",,shortterm,
NarrativePlay: Interactive Narrative Understanding,https://aclanthology.org/2024.eacl-demo.10,2024,NLP,model,effectiveness,intrinsic,quantitative,user,generative,"instant, shortterm",reliability
“What It Wants Me To Say”: Bridging the Abstraction Gap Between End-User Programmers and Code-Generating Large Language Models,https://doi.org/10.1145/3544548.3580817,2023,HCI,system,"effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative","expert, user",,shortterm,reliability
